label,item,condition,red,green,blue,gr_ratio,pair,group
mango_ripe,mango,ripe,121.8195,119.5435,111.3327,0.9813166120258529,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,60.8633,57.875,53.8323,0.950901430732454,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,170.2682,90.0134,67.4101,0.5286565516716771,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,240.7374,236.5056,208.9653,0.9824215058299146,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,172.7685,165.7103,137.2862,0.9591464823787527,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,172.3862,171.9809,146.9911,0.997648877940062,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,121.7918,112.4976,108.9382,0.9236877940576641,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,181.0433,173.6951,144.9624,0.95941191439058,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,105.8087,100.2837,95.1434,0.9477831128462677,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,112.0562,104.9864,97.4327,0.936908435794642,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,230.88,230.0024,208.6872,0.9961988868841004,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,120.2891,108.911,102.3549,0.9054103746273737,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,179.1177,173.324,143.0535,0.9676542241908297,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,138.2471,140.4146,133.9435,1.0156784408810136,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,172.7409,89.9581,36.0449,0.5207689636862551,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,179.1308,170.4498,139.5217,0.9515382002897426,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,88.1603,82.3517,74.7514,0.9341131900173525,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,245.1762,238.6798,220.7275,0.9735031337727597,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,178.4628,170.5353,139.8722,0.9555789724492783,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,224.0805,186.4586,110.7841,0.8321054226846806,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,175.0165,172.0678,145.1603,0.9831518686343752,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,175.3143,177.3161,158.3266,1.0114183440174684,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,181.9555,170.3495,140.4705,0.9362151683449241,Mango Ripe vs Orange Ripe,A
mango_ripe,mango,ripe,171.1474,95.9068,84.0723,0.5603754391806394,Mango Ripe vs Orange Ripe,A
orange_ripe,orange,ripe,149.9487,133.2608,122.2565,0.8887092659775692,Mango Ripe vs Orange Ripe,B
